text,label,region,product,created_at,tweet_id,user_id,user_screen_name,lang,retweet_count,favorite_count,reply_count,quote_count,hashtags,mentions,urls,is_retweet,in_reply_to_status_id,geo,source
Worth every penny the Phone @Samsung #Unboxing ✨,1,Germany,Phone,2024-05-07 22:15:57,,,,,,,,,,,,,,,
Terrible experience with the Watches #Unboxing 😞,0,USA,Watches,2025-08-20 02:04:21,,,,,,,,,,,,,,,
Poor quality the Shoes @Nike — Quality is bad #Sale ☹️,0,UK,Shoes,2024-04-21 20:59:35,,,,,,,,,,,,,,,
Loved this the Laptop #Shopping 👍,1,Germany,Laptop,2025-04-23 02:18:55,,,,,,,,,,,,,,,
Absolutely love the Watches #Unboxing,1,Germany,Watches,2025-01-13 07:06:31,,,,,,,,,,,,,,,
Not worth the price the Gaming Console @PlayStation #Sale 👎,0,Canada,Gaming Console,2024-10-12 02:19:31,,,,,,,,,,,,,,,
Poor quality the Headphones @Sony #Unboxing 😡,0,India,Headphones,2025-03-19 18:08:00,,,,,,,,,,,,,,,
Five stars for the Watches @Fossil #Unboxing,1,India,Watches,2024-07-09 02:28:32,,,,,,,,,,,,,,,
Regret buying the Watches @Titan — Quality is bad #Sale,0,USA,Watches,2024-10-19 16:50:49,,,,,,,,,,,,,,,
Fantastic performance the Smartwatch @Apple #Deal 👍,1,USA,Smartwatch,2024-01-18 04:27:31,,,,,,,,,,,,,,,
Highly recommend the Shoes @Adidas #Shopping 😍,1,India,Shoes,2025-01-29 12:22:27,,,,,,,,,,,,,,,
"Can't resist, the Shoes deal is too good 📱 @Sony",1,USA,Shoes,2025-05-01 10:24:25,,,,,,,,,,,,,,,
Planning to get a Laptop this week #Deal @BestBuy,1,UK,Laptop,2025-06-27 19:14:15,,,,,,,,,,,,,,,
Fast delivery for the Backpack @Wildcraft #Shopping 😊,1,UK,Backpack,2024-10-13 13:09:19,,,,,,,,,,,,,,,
Would not recommend the Refrigerator @Samsung — Disappointed 😡,0,India,Refrigerator,2024-12-22 04:31:50,,,,,,,,,,,,,,,
Very disappointed by the Watches @Rolex #Unboxing 👎,0,UK,Watches,2024-12-03 01:48:52,,,,,,,,,,,,,,,
Absolutely love the Tablet @Samsung #NewLaunch 😊,1,Australia,Tablet,2024-02-08 20:06:40,,,,,,,,,,,,,,,
Worth every penny the Laptop @Apple #Deal 🔥,1,Australia,Laptop,2024-02-10 10:58:53,,,,,,,,,,,,,,,
"Got my eyes on the Shoes, purchasing soon 😍 @Amazon",1,USA,Shoes,2025-06-23 06:17:42,,,,,,,,,,,,,,,
"Can't resist, the Smartwatch deal is too good 😍 @Amazon",1,Australia,Smartwatch,2025-06-25 04:08:16,,,,,,,,,,,,,,,
Would not recommend the Furniture #Shopping 😡,0,Germany,Furniture,2025-03-20 20:14:54,,,,,,,,,,,,,,,
Waste of money the Watches @Titan — Disappointed #Unboxing 💀,0,India,Watches,2025-10-07 17:25:52,,,,,,,,,,,,,,,
Late delivery ruined the Backpack — Disappointed #Unboxing ☹️,0,Germany,Backpack,2024-11-08 20:23:21,,,,,,,,,,,,,,,
Regret buying the Watches @Titan #Sale 😞,0,India,Watches,2024-07-15 02:32:17,,,,,,,,,,,,,,,
Fast delivery for the Printer @HP #NewLaunch 😊,1,UK,Printer,2025-04-16 15:22:15,,,,,,,,,,,,,,,
Not worth the price the Laptop @Apple — Quality is bad #Deal 👎,0,India,Laptop,2025-07-18 01:19:23,,,,,,,,,,,,,,,
Five stars for the Phone @Apple #NewLaunch 👍,1,India,Phone,2024-12-25 16:07:25,,,,,,,,,,,,,,,
Worth every penny the Camera @Canon #NewLaunch 😊,1,Canada,Camera,2025-01-14 21:25:31,,,,,,,,,,,,,,,
Highly recommend the Tablet #Review 🔥,1,USA,Tablet,2024-03-16 10:26:02,,,,,,,,,,,,,,,
Thinking about buying the Shoes tomorrow #Sale @Nike,1,Australia,Shoes,2025-08-12 19:07:05,,,,,,,,,,,,,,,
"Not buying the Headphones, it's overpriced 💀 @Flipkart",0,India,Headphones,2025-10-05 23:23:38,,,,,,,,,,,,,,,
Not worth the price the Watches — Quality is bad #Review,0,Canada,Watches,2024-04-10 12:36:01,,,,,,,,,,,,,,,
Not satisfied with the Watches @Fossil — Not what I expected #Unboxing 😞,0,India,Watches,2024-06-03 18:37:04,,,,,,,,,,,,,,,
One star for the Laptop — Disappointed #NewLaunch,0,Germany,Laptop,2024-01-23 21:35:23,,,,,,,,,,,,,,,
"The new iPhone is disappointing, won't buy 💀 @Apple",0,India,iPhone,2025-09-30 21:21:15,,,,,,,,,,,,,,,
Finally saved up enough to get the iPhone! 🛒 @Flipkart,1,UK,iPhone,2025-07-21 16:17:04,,,,,,,,,,,,,,,
Would not recommend the Shoes — Disappointed #Sale 😡,0,India,Shoes,2024-02-11 19:11:30,,,,,,,,,,,,,,,
Highly recommend the Tablet @Samsung #NewLaunch ✨,1,India,Tablet,2025-03-18 00:08:21,,,,,,,,,,,,,,,
Very disappointed by the Smartwatch @Samsung — Disappointed #Unboxing ☹️,0,India,Smartwatch,2024-07-29 16:25:51,,,,,,,,,,,,,,,
Great value in the Cosmetics @Nykaa #Review 🔥,1,USA,Cosmetics,2024-11-02 20:31:30,,,,,,,,,,,,,,,
Absolutely love the Laptop #Unboxing ✨,1,Canada,Laptop,2025-03-20 05:37:51,,,,,,,,,,,,,,,
The Smartwatch isn't good enough to buy #Fashion @BestBuy,0,India,Smartwatch,2025-09-15 17:55:50,,,,,,,,,,,,,,,
Loved this the Watches @Rolex #NewLaunch 😍,1,India,Watches,2025-06-10 16:50:20,,,,,,,,,,,,,,,
Regret buying the Printer @HP — Disappointed #NewLaunch ☹️,0,UK,Printer,2025-04-04 02:12:41,,,,,,,,,,,,,,,
Worth every penny the Cosmetics @Sephora #Sale 😍,1,India,Cosmetics,2025-04-10 07:24:52,,,,,,,,,,,,,,,
Loved this the Furniture @UrbanLadder #Deal,1,India,Furniture,2024-06-15 01:00:24,,,,,,,,,,,,,,,
So happy with the Refrigerator @LG #Shopping 👍,1,Canada,Refrigerator,2024-06-17 12:23:10,,,,,,,,,,,,,,,
Worth every penny the Printer #Shopping 😍,1,Germany,Printer,2024-02-07 06:50:52,,,,,,,,,,,,,,,
Fast delivery for the Refrigerator #Deal,1,Germany,Refrigerator,2024-07-08 16:42:25,,,,,,,,,,,,,,,
Highly recommend the Smartwatch @Apple #Unboxing ✨,1,India,Smartwatch,2025-09-27 13:23:07,,,,,,,,,,,,,,,
Amazing quality the Printer #NewLaunch 👍,1,UK,Printer,2024-06-22 10:44:15,,,,,,,,,,,,,,,
Five stars for the Headphones @Bose #Unboxing 👍,1,India,Headphones,2024-05-20 08:25:05,,,,,,,,,,,,,,,
"Love how the new Smartwatch looks, definitely buying #Offer @Apple",1,UK,Smartwatch,2025-05-18 04:01:33,,,,,,,,,,,,,,,
No plans to buy any Laptop right now #Deal @Sony,0,India,Laptop,2025-04-29 03:52:26,,,,,,,,,,,,,,,
Absolutely love the Shoes @Adidas #Review ✨,1,Australia,Shoes,2024-12-13 07:39:44,,,,,,,,,,,,,,,
So happy with the Bike @Bajaj #Sale,1,Australia,Bike,2024-11-24 16:22:46,,,,,,,,,,,,,,,
Great value in the Backpack @Wildcraft #Unboxing 😍,1,Australia,Backpack,2025-08-31 08:24:33,,,,,,,,,,,,,,,
One star for the Furniture @UrbanLadder — Quality is bad #Deal 👎,0,UK,Furniture,2024-01-07 06:03:42,,,,,,,,,,,,,,,
Loved this the Books #MustRead #Shopping,1,UK,Books,2025-06-13 17:50:28,,,,,,,,,,,,,,,
Would not recommend the Phone @Samsung #Sale 👎,0,Germany,Phone,2024-05-01 13:58:46,,,,,,,,,,,,,,,
I don’t think I’ll buy the Shoes anytime soon #Offer @BestBuy,0,USA,Shoes,2025-05-24 21:27:38,,,,,,,,,,,,,,,
Amazing quality the Laptop @Dell #NewLaunch 😊,1,India,Laptop,2024-01-01 12:36:00,,,,,,,,,,,,,,,
Absolutely love the Laptop 👍,1,Germany,Laptop,2025-05-27 01:18:59,,,,,,,,,,,,,,,
Fast delivery for the Printer #Unboxing,1,India,Printer,2025-07-10 10:51:30,,,,,,,,,,,,,,,
So happy with the Bike @Hero 👍,1,Australia,Bike,2024-09-19 11:35:58,,,,,,,,,,,,,,,
Finally saved up enough to get the Shoes! 💸 @Amazon,1,USA,Shoes,2025-09-12 02:00:36,,,,,,,,,,,,,,,
One star for the Cosmetics @Nykaa — Quality is bad #Unboxing ☹️,0,UK,Cosmetics,2024-10-06 15:02:44,,,,,,,,,,,,,,,
Loved this the Gaming Console 😊,1,India,Gaming Console,2024-09-20 01:02:07,,,,,,,,,,,,,,,
Very disappointed by the Printer — Not what I expected #Sale 😡,0,India,Printer,2025-07-29 22:05:58,,,,,,,,,,,,,,,
Finally saved up enough to get the Headphones! 🔥 @Flipkart,1,Canada,Headphones,2025-06-11 13:01:23,,,,,,,,,,,,,,,
Planning to get a Laptop this week #Tech @Nike,1,India,Laptop,2025-08-15 00:01:23,,,,,,,,,,,,,,,
Poor quality the Camera @Canon — Not what I expected #Shopping 💀,0,India,Camera,2025-01-22 02:23:33,,,,,,,,,,,,,,,
Fast delivery for the Phone @Google #Unboxing 👍,1,India,Phone,2024-05-18 23:23:05,,,,,,,,,,,,,,,
Not worth the price the Watches — Not what I expected 💀,0,India,Watches,2024-01-29 12:43:01,,,,,,,,,,,,,,,
Amazing quality the Headphones @Bose #Shopping 👍,1,USA,Headphones,2024-09-19 12:00:17,,,,,,,,,,,,,,,
Regret buying the TV @LG — Quality is bad #Sale,0,India,TV,2024-03-18 11:38:30,,,,,,,,,,,,,,,
Too expensive for a Shoes. I'll pass #Offer @Flipkart,0,India,Shoes,2025-06-03 12:35:18,,,,,,,,,,,,,,,
"Can't resist, the Shoes deal is too good 💻 @Apple",1,Canada,Shoes,2025-04-14 13:59:48,,,,,,,,,,,,,,,
Really excited to purchase the latest Headphones 😎 @Flipkart,1,UK,Headphones,2025-07-31 21:01:53,,,,,,,,,,,,,,,
Amazing quality the Headphones @Sony #Shopping 😊,1,India,Headphones,2024-06-26 10:01:31,,,,,,,,,,,,,,,
"The new Headphones is disappointing, won't buy 🙄 @Sony",0,USA,Headphones,2025-06-29 17:54:06,,,,,,,,,,,,,,,
Skipping the Laptop this time 💀 @Nike,0,India,Laptop,2025-07-30 01:55:46,,,,,,,,,,,,,,,
"Can't resist, the Smartwatch deal is too good 😎 @Apple",1,Australia,Smartwatch,2025-06-03 02:05:43,,,,,,,,,,,,,,,
The Smartwatch isn't good enough to buy #Deal @BestBuy,0,Canada,Smartwatch,2025-06-11 08:28:11,,,,,,,,,,,,,,,
Really excited to purchase the latest iPhone 💻 @Sony,1,Australia,iPhone,2025-05-11 00:07:02,,,,,,,,,,,,,,,
Really excited to purchase the latest Laptop 😎 @Amazon,1,India,Laptop,2025-06-23 00:21:31,,,,,,,,,,,,,,,
Waste of money the Furniture — Disappointed #Unboxing 💀,0,India,Furniture,2024-10-08 01:57:13,,,,,,,,,,,,,,,
Thinking about buying the Headphones tomorrow #Deal @Nike,1,USA,Headphones,2025-06-13 12:50:17,,,,,,,,,,,,,,,
Absolutely love the Gaming Console @Xbox #Unboxing 😊,1,India,Gaming Console,2024-03-24 20:33:15,,,,,,,,,,,,,,,
Fast delivery for the Printer @HP #Deal,1,UK,Printer,2025-06-22 05:15:52,,,,,,,,,,,,,,,
Very disappointed by the Gaming Console @PlayStation — Not what I expected #Shopping 😞,0,India,Gaming Console,2025-05-05 13:02:52,,,,,,,,,,,,,,,
Thinking about buying the Headphones tomorrow #NewLaunch @Apple,1,USA,Headphones,2025-04-26 09:12:54,,,,,,,,,,,,,,,
Late delivery ruined the Laptop @Dell #Shopping 💀,0,India,Laptop,2024-09-01 08:12:06,,,,,,,,,,,,,,,
"The new Smartwatch is disappointing, won't buy 👎 @Sony",0,Australia,Smartwatch,2025-05-18 21:48:22,,,,,,,,,,,,,,,
Too expensive for a iPhone. I'll pass #Deal @Sony,0,Australia,iPhone,2025-09-30 13:50:27,,,,,,,,,,,,,,,
"I was going to get a iPhone, but changed my mind 😩 @Apple",0,USA,iPhone,2025-08-23 12:54:02,,,,,,,,,,,,,,,
